Analyzing municipalities for potential unit data gaps...
--------------------------------------------------------------------------------
Municipality              | Total Props  | Has Unit   | % Unit   | Avg Dupes 
--------------------------------------------------------------------------------
Bethel                    | 7646         | 0          | 0.0      | 0.0       
Thomaston                 | 3314         | 0          | 0.0      | 0.0       
Sherman                   | 2600         | 0          | 0.0      | 0.0       
Bozrah                    | 1349         | 0          | 0.0      | 0.0       
Darien                    | 7591         | 0          | 0.0      | 632.58    
Portland                  | 4516         | 0          | 0.0      | 66.41     
Groton                    | 12035        | 0          | 0.0      | 12.93     
Avon                      | 7815         | 0          | 0.0      | 10.76     
Franklin                  | 2184         | 0          | 0.0      | 2.31      
Chester                   | 3581         | 0          | 0.0      | 2.19      
Berlin                    | 17882        | 0          | 0.0      | 2.14      
Union                     | 728          | 0          | 0.0      | 1.54      
Winchester                | 7327         | 0          | 0.0      | 1.48      
Canaan                    | 881          | 0          | 0.0      | 1.37      
Sharon                    | 2423         | 0          | 0.0      | 1.36      
Kent                      | 2000         | 0          | 0.0      | 1.34      
Hampton                   | 1130         | 0          | 0.0      | 1.33      
Thompson                  | 5440         | 0          | 0.0      | 1.31      
Harwinton                 | 3226         | 0          | 0.0      | 1.31      
Lyme                      | 1688         | 0          | 0.0      | 1.31      
Cornwall                  | 1312         | 0          | 0.0      | 1.28      
Woodstock                 | 4513         | 0          | 0.0      | 1.27      
Norfolk                   | 1236         | 0          | 0.0      | 1.27      
Ashford                   | 2256         | 0          | 0.0      | 1.24      
Bridgewater               | 1075         | 0          | 0.0      | 1.24      
Colebrook                 | 949          | 0          | 0.0      | 1.24      
Scotland                  | 856          | 0          | 0.0      | 1.24      
North Canaan              | 1668         | 0          | 0.0      | 1.23      
Warren                    | 1002         | 0          | 0.0      | 1.23      
Coventry                  | 6697         | 0          | 0.0      | 1.22      
East Haddam               | 5671         | 0          | 0.0      | 1.22      
Eastford                  | 1164         | 0          | 0.0      | 1.22      
Chaplin                   | 1194         | 0          | 0.0      | 1.21      
Middlebury                | 3407         | 0          | 0.0      | 1.20      
Goshen                    | 2291         | 0          | 0.0      | 1.20      
Canterbury                | 2573         | 0          | 0.0      | 1.19      
Andover                   | 1642         | 0          | 0.0      | 1.19      
Roxbury                   | 1528         | 0          | 0.0      | 1.19      
Lebanon                   | 3867         | 0          | 0.0      | 1.17      
Salisbury                 | 2678         | 0          | 0.0      | 1.16      
Willington                | 2409         | 0          | 0.0      | 1.16      
Hartland                  | 1035         | 0          | 0.0      | 1.16      
Mansfield                 | 4578         | 0          | 0.0      | 1.15      
Litchfield                | 4437         | 0          | 0.0      | 1.15      
Haddam                    | 4291         | 0          | 0.0      | 1.15      
Brooklyn                  | 3512         | 0          | 0.0      | 1.15      
North Stonington          | 3069         | 0          | 0.0      | 1.15      
West Hartford             | 21442        | 0          | 0.0      | 1.14      
New London                | 6974         | 0          | 0.0      | 1.14      
Middlefield               | 2247         | 0          | 0.0      | 1.14      
